Destination,Value,Fiscal Year
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
